feature,Class,Average of Value,Year
bully,0,-0.03130631521344185,2019
bully,0,-0.7939309477806091,2020
bully,0,0.1265494525432587,2021
bully,0,-0.2054848670959473,2022
bully,1,0.6823642253875732,2010
bully,1,-0.1303524225950241,2011
bully,1,0.4449879825115204,2012
bully,1,0.3876523375511169,2013
bully,1,0.07286366820335388,2014
bully,1,0.5405506491661072,2015
bully,1,0.2814280986785889,2016
bully,1,-0.1057913079857826,2017
bully,1,0.01994239166378975,2018
bully,1,0.04823832958936691,2019
bully,1,0.751451849937439,2020
bully,1,-0.07433636486530304,2021
bully,1,0.1737688332796097,2022
burglary,0,1.281313061714172,2010
burglary,0,0.09971462190151215,2011
burglary,0,0.5298964977264404,2012
burglary,0,-0.01271592546254396,2013
burglary,0,-0.0207659974694252,2014
burglary,0,0.8491504192352295,2015
burglary,0,0.07230576872825623,2016
burglary,0,0.2027361989021301,2017
burglary,0,0.04242692887783051,2018
burglary,0,0.5593483448028564,2019
burglary,0,0.1776559799909592,2020
burglary,0,0.1749689429998398,2021
burglary,0,0.4527134001255035,2022
burglary,1,-0.8809123635292053,2010
burglary,1,-0.2315471172332764,2011
burglary,1,-0.5391190052032471,2012
burglary,1,-0.00659100478515029,2013
burglary,1,-0.01694688946008682,2014
burglary,1,-0.9019544124603271,2015
burglary,1,-0.1264389157295227,2016
burglary,1,-0.1940805315971375,2017
burglary,1,-0.09699364751577377,2018
burglary,1,-0.6521856188774109,2019
burglary,1,-0.1254161149263382,2020
burglary,1,-0.0900288075208664,2021
burglary,1,-0.366349071264267,2022
burn,0,-0.2271605730056763,2010
burn,0,-0.1482453644275665,2011
burn,0,-0.088775135576725,2012
burn,0,-0.1757604032754898,2013
burn,0,-0.0008548552286811173,2014
burn,0,-0.07294400036334991,2015
burn,0,-0.2437013238668442,2016
burn,0,-0.1734535247087479,2017
burn,0,-0.1287879347801208,2018
burn,0,-0.1872142851352692,2019
burn,0,-0.0005345541285350919,2020
burn,0,-0.08612385392189026,2021
burn,0,0.03330880030989647,2022
burn,1,0.1045421436429024,2010
burn,1,0.09930241852998734,2011
burn,1,0.06405361741781235,2012
burn,1,0.1174093708395958,2013
burn,1,-0.004834690596908331,2014
burn,1,0.05546034500002861,2015
burn,1,0.2545202076435089,2016
burn,1,0.1978220045566559,2017
burn,1,0.1133138909935951,2018
burn,1,0.2317120879888535,2019
burn,1,-0.02758116088807583,2020
burn,1,0.0897020772099495,2021
burn,1,-0.03519726917147636,2022
call,0,0.007894842885434628,2010
call,0,-0.1551895886659622,2011
call,0,-0.003558263182640076,2012
call,0,-0.175478607416153,2013
call,0,-0.09014210850000381,2014
call,0,0.0297742560505867,2015
call,0,-0.04256433993577957,2016
call,0,-0.07906996458768845,2017
